Data,Último,Abertura,Máxima,Mínima,Vol.,Var%,ds,y
2020-07-09,99.16,99.77,100.191,98.861,9470000,-0.61,2020-07-09,99.16
2020-07-10,100.032,99.16,100.101,98.739,9150000,0.88,2020-07-10,100.032
2020-07-13,98.697,100.027,100.858,98.697,10380000,-1.33,2020-07-13,98.697
2020-07-14,100.44,98.699,100.632,98.289,10020000,1.77,2020-07-14,100.44
2020-07-15,101.791,100.444,102.114,100.444,9290000,1.34,2020-07-15,101.791
2020-07-16,100.553,101.791,101.792,100.16,8130000,-1.22,2020-07-16,100.553
2020-07-17,102.888,100.554,103.017,100.554,10430000,2.32,2020-07-17,102.888
2020-07-20,104.426,102.888,104.439,102.744,8930000,1.49,2020-07-20,104.426
2020-07-21,104.31,104.426,105.449,103.732,11110000,-0.11,2020-07-21,104.31
2020-07-22,104.29,104.312,104.98,103.277,10830000,-0.02,2020-07-22,104.29
2020-07-23,102.293,104.291,104.949,102.119,10370000,-1.91,2020-07-23,102.293
2020-07-24,102.382,102.292,102.694,100.859,9800000,0.09,2020-07-24,102.382
2020-07-27,104.477,102.381,104.585,102.381,9620000,2.05,2020-07-27,104.477
2020-07-28,104.109,104.477,104.663,103.592,9090000,-0.35,2020-07-28,104.109
2020-07-29,105.605,104.112,105.704,104.112,9240000,1.44,2020-07-29,105.605
2020-07-30,105.009,105.605,105.607,103.92,9590000,-0.56,2020-07-30,105.009
2020-07-31,102.912,105.01,105.462,102.642,12930000,-2.0,2020-07-31,102.912
2020-08-03,102.83,102.913,103.863,102.304,10900000,-0.08,2020-08-03,102.83
2020-08-04,101.216,102.826,103.012,100.005,12030000,-1.57,2020-08-04,101.216
2020-08-05,102.802,101.22,103.763,101.22,10920000,1.57,2020-08-05,102.802
2020-08-06,104.126,102.795,104.523,102.795,9690000,1.29,2020-08-06,104.126
2020-08-07,102.776,104.116,104.126,101.957,10340000,-1.3,2020-08-07,102.776
2020-08-10,103.444,102.776,103.722,101.282,8260000,0.65,2020-08-10,103.444
2020-08-11,102.174,103.449,104.409,102.174,9360000,-1.23,2020-08-11,102.174
2020-08-12,102.118,102.176,103.116,100.698,10110000,-0.06,2020-08-12,102.118
2020-08-13,100.461,102.118,103.237,100.187,10720000,-1.62,2020-08-13,100.461
2020-08-14,101.353,100.469,101.717,100.445,8580000,0.89,2020-08-14,101.353
2020-08-17,99.595,101.348,101.689,98.513,10820000,-1.73,2020-08-17,99.595
2020-08-18,102.065,99.597,102.247,99.597,9420000,2.48,2020-08-18,102.065
2020-08-19,100.854,102.072,102.334,100.8,10030000,-1.19,2020-08-19,100.854
2020-08-20,101.468,100.853,101.749,99.131,9400000,0.61,2020-08-20,101.468
2020-08-21,101.521,101.46,101.566,100.412,9100000,0.05,2020-08-21,101.521
2020-08-24,102.298,101.525,102.515,101.525,7720000,0.77,2020-08-24,102.298
2020-08-25,102.118,102.293,102.708,101.623,8189999,-0.18,2020-08-25,102.118
2020-08-26,100.627,102.119,102.521,99.359,9860000,-1.46,2020-08-26,100.627
2020-08-27,100.624,100.625,101.548,99.857,7360000,0.0,2020-08-27,100.624
2020-08-28,102.143,100.631,102.347,100.631,7670000,1.51,2020-08-28,102.143
2020-08-31,99.369,102.142,102.142,99.369,12230000,-2.72,2020-08-31,99.369
2020-09-01,102.168,99.382,102.238,99.382,9380000,2.82,2020-09-01,102.168
2020-09-02,101.911,102.168,102.824,100.872,7560000,-0.25,2020-09-02,101.911
2020-09-03,100.721,101.911,103.226,99.751,12610000,-1.17,2020-09-03,100.721
2020-09-04,101.242,100.733,101.582,98.961,11330000,0.52,2020-09-04,101.242
2020-09-08,100.05,101.239,101.239,99.373,8480000,-1.18,2020-09-08,100.05
2020-09-09,101.292,100.05,101.578,100.05,7960000,1.24,2020-09-09,101.292
2020-09-10,98.835,101.291,101.536,98.687,8890000,-2.43,2020-09-10,98.835
2020-09-11,98.363,98.839,99.435,97.758,9110000,-0.48,2020-09-11,98.363
2020-09-14,100.275,98.367,100.52,98.367,8180000,1.94,2020-09-14,100.275
2020-09-15,100.298,100.277,100.949,99.647,9220000,0.02,2020-09-15,100.298
2020-09-16,99.676,100.299,100.663,99.663,7140000,-0.62,2020-09-16,99.676
2020-09-17,100.098,99.674,100.251,98.562,7860000,0.42,2020-09-17,100.098
2020-09-18,98.29,100.098,100.102,98.045,11370000,-1.81,2020-09-18,98.29
2020-09-21,96.991,98.283,98.283,95.82,9740000,-1.32,2020-09-21,96.991
2020-09-22,97.294,96.995,97.684,96.39,7280000,0.31,2020-09-22,97.294
2020-09-23,95.735,97.294,97.389,95.728,8830000,-1.6,2020-09-23,95.735
2020-09-24,97.012,95.735,97.955,95.653,9330000,1.33,2020-09-24,97.012
2020-09-25,96.999,97.011,97.012,95.632,7350000,-0.01,2020-09-25,96.999
2020-09-28,94.666,97.005,98.314,94.371,10510000,-2.41,2020-09-28,94.666
2020-09-29,93.58,94.665,95.505,93.408,8740000,-1.15,2020-09-29,93.58
2020-09-30,94.603,93.586,95.34,93.584,9490000,1.09,2020-09-30,94.603
2020-10-01,95.479,94.604,95.486,93.599,9240000,0.93,2020-10-01,95.479
2020-10-02,94.016,95.475,95.996,93.897,8580000,-1.53,2020-10-02,94.016
2020-10-05,96.089,94.019,96.414,93.984,8620000,2.21,2020-10-05,96.089
2020-10-06,95.615,96.091,97.405,95.211,11300000,-0.49,2020-10-06,95.615
2020-10-07,95.526,95.616,96.38,94.881,9830000,-0.09,2020-10-07,95.526
2020-10-08,97.92,95.53,97.938,95.53,11160000,2.51,2020-10-08,97.92
2020-10-09,97.483,97.924,98.642,97.161,10810000,-0.45,2020-10-09,97.483
2020-10-13,98.503,97.483,98.998,97.336,7870000,1.05,2020-10-13,98.503
2020-10-14,99.334,98.502,99.571,98.501,8900000,0.84,2020-10-14,99.334
2020-10-15,99.054,99.328,99.486,97.778,8340000,-0.28,2020-10-15,99.054
2020-10-16,98.309,99.054,99.172,98.309,7840000,-0.75,2020-10-16,98.309
2020-10-19,98.658,98.31,99.917,98.31,9930000,0.35,2020-10-19,98.658
2020-10-20,100.54,98.664,100.722,98.664,8800000,1.91,2020-10-20,100.54
2020-10-21,100.552,100.541,101.586,100.149,8660000,0.01,2020-10-21,100.552
2020-10-22,101.918,100.553,102.02,100.457,9560000,1.36,2020-10-22,101.918
2020-10-23,101.26,101.918,102.218,101.188,7560000,-0.65,2020-10-23,101.26
2020-10-26,101.017,101.26,101.784,99.762,8070000,-0.24,2020-10-26,101.017
2020-10-27,99.606,101.017,101.66,99.414,8670000,-1.4,2020-10-27,99.606
2020-10-28,95.369,99.598,99.598,95.369,11050000,-4.25,2020-10-28,95.369
2020-10-29,96.582,95.368,96.688,93.387,12700000,1.27,2020-10-29,96.582
2020-10-30,93.952,96.579,96.579,93.559,10640000,-2.72,2020-10-30,93.952
2020-11-03,95.98,93.968,96.35,93.968,10190000,2.16,2020-11-03,95.98
2020-11-04,97.867,95.992,98.296,95.987,10700000,1.97,2020-11-04,97.867
2020-11-05,100.751,97.873,100.922,97.872,10460000,2.95,2020-11-05,100.751
2020-11-06,100.925,100.751,101.104,99.837,8380000,0.17,2020-11-06,100.925
2020-11-09,103.515,100.954,105.147,100.954,17410000,2.57,2020-11-09,103.515
2020-11-10,105.067,103.516,105.758,103.453,16670000,1.5,2020-11-10,105.067
2020-11-11,104.809,105.067,105.462,104.143,10840000,-0.25,2020-11-11,104.809
2020-11-12,102.507,104.81,105.019,102.034,10860000,-2.2,2020-11-12,102.507
2020-11-13,104.723,102.509,104.726,102.509,9770000,2.16,2020-11-13,104.723
2020-11-16,106.43,104.729,106.518,104.729,11720000,1.63,2020-11-16,106.43
2020-11-17,107.249,106.43,107.81,105.847,10310000,0.77,2020-11-17,107.249
2020-11-18,106.119,107.246,107.467,106.043,10340000,-1.05,2020-11-18,106.119
2020-11-19,106.67,106.117,106.973,105.545,8560000,0.52,2020-11-19,106.67
2020-11-20,106.042,106.67,106.764,105.68,7100000,-0.59,2020-11-20,106.042
2020-11-23,107.379,106.05,107.495,106.05,9690000,1.26,2020-11-23,107.379
2020-11-24,109.786,107.378,109.956,107.361,11930000,2.24,2020-11-24,109.786
2020-11-25,110.133,109.786,110.596,109.315,8560000,0.32,2020-11-25,110.133
2020-11-26,110.227,110.133,110.245,109.418,6170000,0.09,2020-11-26,110.227
2020-11-27,110.575,110.229,111.603,110.161,8790000,0.32,2020-11-27,110.575
2020-11-30,108.893,110.598,110.934,108.829,19300000,-1.52,2020-11-30,108.893
2020-12-01,111.4,108.897,111.84,108.897,11320000,2.3,2020-12-01,111.4
2020-12-02,111.879,111.402,112.315,110.579,9810000,0.43,2020-12-02,111.879
2020-12-03,112.292,111.874,113.377,111.874,11470000,0.37,2020-12-03,112.292
2020-12-04,113.75,112.294,113.864,112.294,8890000,1.3,2020-12-04,113.75
